"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","comapny_name","skills"
1122466,"Data Analyst","Mumbai, Maharashtra, India","Full-time","111175.0","2023-06-20 14:11:29","Spotify","python"
1018545,"Technical Data Analyst (India)","Pune, Maharashtra, India","Full-time","111175.0","2023-07-06 21:12:16","Addepar","python"
485259,"Product Data Manager - 3D","New Delhi, Delhi, India","Full-time","105650.0","2023-05-24 14:09:17","Media.Monks","express"
485259,"Product Data Manager - 3D","New Delhi, Delhi, India","Full-time","105650.0","2023-05-24 14:09:17","Media.Monks","unreal"
682096,"Data Analyst - Finance","Bengaluru, Karnataka, India","Full-time","105000.0","2023-07-13 00:11:51","ZeroFox","sheets"
682096,"Data Analyst - Finance","Bengaluru, Karnataka, India","Full-time","105000.0","2023-07-13 00:11:51","ZeroFox","flow"
563703,"Data Analyst - Transport","Bengaluru, Karnataka, India","Full-time","105000.0","2023-06-27 13:34:25","GoTo Group","sql"
563703,"Data Analyst - Transport","Bengaluru, Karnataka, India","Full-time","105000.0","2023-06-27 13:34:25","GoTo Group","swift"
563703,"Data Analyst - Transport","Bengaluru, Karnataka, India","Full-time","105000.0","2023-06-27 13:34:25","GoTo Group","tableau"
563703,"Data Analyst - Transport","Bengaluru, Karnataka, India","Full-time","105000.0","2023-06-27 13:34:25","GoTo Group","git"
614701,"Data Analyst","Mumbai, Maharashtra, India","Full-time","105000.0","2023-07-15 06:10:30","NielsenIQ","python"
614701,"Data Analyst","Mumbai, Maharashtra, India","Full-time","105000.0","2023-07-15 06:10:30","NielsenIQ","r"
614701,"Data Analyst","Mumbai, Maharashtra, India","Full-time","105000.0","2023-07-15 06:10:30","NielsenIQ","spss"
525119,"Executive - Credit Controller and Project Data Analyst","Hyderabad, Telangana, India","Full-time","105000.0","2023-07-20 06:12:20","Ramboll","excel"
525119,"Executive - Credit Controller and Project Data Analyst","Hyderabad, Telangana, India","Full-time","105000.0","2023-07-20 06:12:20","Ramboll","power bi"
591307,"HR Data Operations Analyst","India","Full-time","104550.0","2023-11-07 16:11:10","Clarivate","excel"
591307,"HR Data Operations Analyst","India","Full-time","104550.0","2023-11-07 16:11:10","Clarivate","word"
591307,"HR Data Operations Analyst","India","Full-time","104550.0","2023-11-07 16:11:10","Clarivate","powerpoint"
315691,"Financial Data Analyst / Financial Analyst","Ahmedabad, Gujarat, India","Full-time","104500.0","2023-01-05 12:32:37","Conga","tableau"
